Date,Time,Open,High,Low,Close
20/04/2020,00:00,7121.40000000,7738.00000000,6751.00000000,7693.10000000
27/04/2020,00:00,7693.10000000,9460.00000000,7606.00000000,8894.16000000
04/05/2020,00:00,8894.15000000,10067.00000000,8117.00000000,8722.77000000
11/05/2020,00:00,8722.77000000,9939.00000000,8200.00000000,9680.04000000
18/05/2020,00:00,9681.11000000,9950.00000000,8700.00000000,8720.34000000
25/05/2020,00:00,8718.14000000,9740.00000000,8642.72000000,9448.27000000
01/06/2020,00:00,9448.27000000,10380.00000000,9266.00000000,9746.99000000
08/06/2020,00:00,9746.99000000,9992.72000000,9113.00000000,9342.10000000
15/06/2020,00:00,9342.10000000,9589.00000000,8910.45000000,9294.69000000
22/06/2020,00:00,9294.69000000,9780.00000000,8833.00000000,9116.35000000
29/06/2020,00:00,9116.16000000,9292.00000000,8893.03000000,9069.41000000
06/07/2020,00:00,9069.41000000,9470.00000000,9055.92000000,9302.75000000
13/07/2020,00:00,9303.31000000,9343.82000000,9047.25000000,9208.99000000
20/07/2020,00:00,9208.99000000,10111.00000000,9131.00000000,9931.54000000
27/07/2020,00:00,9931.54000000,12123.46000000,9917.21000000,11071.35000000
03/08/2020,00:00,11071.36000000,11909.94000000,10936.00000000,11681.68000000
10/08/2020,00:00,11681.69000000,12067.35000000,11125.00000000,11911.00000000
17/08/2020,00:00,11910.99000000,12468.00000000,11376.81000000,11648.13000000
24/08/2020,00:00,11648.12000000,11824.90000000,11117.64000000,11711.16000000
31/08/2020,00:00,11711.17000000,12050.85000000,9825.00000000,10256.20000000
07/09/2020,00:00,10255.89000000,10580.11000000,9850.00000000,10332.83000000
14/09/2020,00:00,10332.84000000,11179.79000000,10212.34000000,10920.28000000
21/09/2020,00:00,10920.28000000,10988.86000000,10136.82000000,10774.25000000
28/09/2020,00:00,10774.26000000,10950.00000000,10374.00000000,10666.63000000
05/10/2020,00:00,10666.62000000,11491.00000000,10525.00000000,11369.02000000
12/10/2020,00:00,11369.02000000,11720.01000000,11172.00000000,11503.14000000
19/10/2020,00:00,11503.14000000,13350.00000000,11407.96000000,13028.83000000
26/10/2020,00:00,13029.64000000,14100.00000000,12765.00000000,13761.50000000
02/11/2020,00:00,13761.49000000,15960.00000000,13195.05000000,15475.10000000
09/11/2020,00:00,15475.10000000,16480.00000000,14805.54000000,15957.00000000
16/11/2020,00:00,15957.00000000,18965.90000000,15864.00000000,18414.43000000
23/11/2020,00:00,18413.88000000,19484.21000000,16188.00000000,18184.99000000
30/11/2020,00:00,18185.00000000,19888.00000000,18001.12000000,19359.40000000
07/12/2020,00:00,19358.67000000,19420.91000000,17572.33000000,19174.99000000
14/12/2020,00:00,19174.99000000,24295.00000000,19000.00000000,23455.52000000
21/12/2020,00:00,23455.54000000,28422.00000000,21815.00000000,26281.66000000
28/12/2020,00:00,26281.54000000,34778.11000000,25880.00000000,33000.05000000
04/01/2021,00:00,33000.05000000,41950.00000000,28130.00000000,38150.02000000
11/01/2021,00:00,38150.02000000,40100.00000000,30420.00000000,35828.61000000
18/01/2021,00:00,35824.99000000,37850.00000000,28850.00000000,32259.90000000
25/01/2021,00:00,32259.45000000,38531.90000000,29241.72000000,33092.98000000
01/02/2021,00:00,33092.97000000,40955.51000000,32296.16000000,38795.69000000
08/02/2021,00:00,38795.69000000,49707.43000000,37988.89000000,48577.79000000
15/02/2021,00:00,48580.47000000,58352.80000000,45570.79000000,57408.57000000
22/02/2021,00:00,57412.35000000,57508.47000000,43000.00000000,45135.66000000
01/03/2021,00:00,45134.11000000,52640.00000000,44950.53000000,50971.75000000
08/03/2021,00:00,50959.11000000,61844.00000000,49274.67000000,58968.31000000
15/03/2021,00:00,58976.08000000,60633.43000000,53271.34000000,57351.56000000
22/03/2021,00:00,57351.56000000,58430.73000000,50427.56000000,55777.63000000
29/03/2021,00:00,55777.65000000,60200.00000000,54800.01000000,58202.01000000
05/04/2021,00:00,58202.01000000,61500.00000000,55473.00000000,60002.43000000
12/04/2021,00:00,59998.80000000,64854.00000000,50931.30000000,56150.01000000
19/04/2021,00:00,56150.01000000,57526.81000000,46930.00000000,49066.77000000
26/04/2021,00:00,49066.76000000,58458.07000000,48753.44000000,56578.21000000
03/05/2021,00:00,56578.21000000,59500.00000000,52900.00000000,58240.84000000
10/05/2021,00:00,58240.83000000,59500.00000000,43825.39000000,46431.50000000
17/05/2021,00:00,46426.83000000,46686.00000000,30000.00000000,34655.25000000
24/05/2021,00:00,34681.44000000,40841.00000000,33379.00000000,35641.27000000
31/05/2021,00:00,35641.26000000,39476.00000000,34153.84000000,35796.31000000
07/06/2021,00:00,35796.31000000,39380.00000000,31000.00000000,39020.57000000
14/06/2021,00:00,39020.56000000,41330.00000000,33336.00000000,35600.16000000
21/06/2021,00:00,35600.17000000,35750.00000000,28805.00000000,34700.34000000
28/06/2021,00:00,34702.49000000,36600.00000000,32699.00000000,35286.51000000
05/07/2021,00:00,35288.13000000,35293.78000000,32077.00000000,34258.99000000
12/07/2021,00:00,34259.00000000,34678.43000000,31020.00000000,31778.56000000
19/07/2021,00:00,31778.57000000,35398.00000000,29278.00000000,35381.02000000
